dataset,model,network_name,average_score,embedding_count
camcan,region_elasticnet,VentralAttention,0.40374736693846536,5
camcan,region_elasticnet,DorsalAttention,0.4411531877577833,5
camcan,region_elasticnet,Limbic,0.5471062043940638,5
camcan,region_elasticnet,Control,0.629492971203947,5
camcan,region_elasticnet,Default,0.6414585222119495,5
camcan,region_elasticnet,Somatomotor,0.7139903977667252,5
camcan,region_elasticnet,Visual,0.7745273840946648,5
camcan,region_group_lasso,DorsalAttention,0.49231043801367014,5
camcan,region_group_lasso,Limbic,0.5734607042109069,5
camcan,region_group_lasso,VentralAttention,0.5789084249351445,5
camcan,region_group_lasso,Control,0.6513632940723392,5
camcan,region_group_lasso,Visual,0.7138084527332492,5
camcan,region_group_lasso,Somatomotor,0.7293819543020927,5
camcan,region_group_lasso,Default,0.8244884263455715,5
hcp,region_elasticnet,Limbic,0.4421307823826036,5
hcp,region_elasticnet,Visual,0.6018188287911587,5
hcp,region_elasticnet,VentralAttention,0.624419292696101,5
hcp,region_elasticnet,DorsalAttention,0.6582789276777726,5
hcp,region_elasticnet,Somatomotor,0.8763925948957356,5
hcp,region_elasticnet,Control,0.8942707379855864,5
hcp,region_elasticnet,Default,0.9952012062403639,5
hcp,region_group_lasso,Visual,0.44061894251446365,5
hcp,region_group_lasso,Limbic,0.47979203363796624,5
hcp,region_group_lasso,DorsalAttention,0.5918027805740629,5
hcp,region_group_lasso,VentralAttention,0.7112469715800149,5
hcp,region_group_lasso,Control,0.8356962540397614,5
hcp,region_group_lasso,Somatomotor,0.9738728366004498,5
hcp,region_group_lasso,Default,0.9953153344801065,5
