dataset,model,region_id,region_name,average_score,embedding_count
camcan,region_elasticnet,3,17Networks_LH_VisCent_Striate_1,0.52,5
camcan,region_elasticnet,28,17Networks_LH_LimbicB_OFC_1,0.41047619047619044,5
camcan,region_elasticnet,59,17Networks_RH_SomMotA_3,0.28190476190476194,5
camcan,region_elasticnet,78,17Networks_RH_LimbicB_OFC_1,0.22952380952380952,5
camcan,region_elasticnet,4,17Networks_LH_VisCent_ExStr_3,0.22000000000000003,5
camcan,region_elasticnet,8,17Networks_LH_SomMotA_1,0.21142857142857144,5
camcan,region_elasticnet,9,17Networks_LH_SomMotA_2,0.19523809523809524,5
camcan,region_elasticnet,87,17Networks_RH_ContC_Cingp_1,0.17238095238095238,5
camcan,region_elasticnet,52,17Networks_RH_VisCent_ExStr_2,0.1580952380952381,5
camcan,region_elasticnet,60,17Networks_RH_SomMotA_4,0.1580952380952381,5
camcan,region_elasticnet,93,17Networks_RH_DefaultB_PFCd_1,0.15523809523809523,5
camcan,region_elasticnet,99,17Networks_RH_TempPar_2,0.14952380952380953,5
camcan,region_elasticnet,86,17Networks_RH_ContB_PFClv_1,0.14857142857142858,5
camcan,region_elasticnet,2,17Networks_LH_VisCent_ExStr_2,0.14476190476190476,5
camcan,region_elasticnet,95,17Networks_RH_DefaultB_PFCv_2,0.12952380952380954,5
camcan,region_elasticnet,13,17Networks_LH_SomMotB_Cent_1,0.12190476190476192,5
camcan,region_elasticnet,61,17Networks_RH_SomMotB_Aud_1,0.12190476190476189,5
camcan,region_elasticnet,53,17Networks_RH_VisCent_ExStr_3,0.12095238095238095,5
camcan,region_elasticnet,17,17Networks_LH_DorsAttnB_PostC_1,0.11619047619047618,5
camcan,region_elasticnet,24,17Networks_LH_SalVentAttnA_ParMed_1,0.11333333333333333,5
camcan,region_group_lasso,28,17Networks_LH_LimbicB_OFC_1,0.4011111111111111,5
camcan,region_group_lasso,3,17Networks_LH_VisCent_Striate_1,0.4004444444444445,5
camcan,region_group_lasso,9,17Networks_LH_SomMotA_2,0.21444444444444444,5
camcan,region_group_lasso,86,17Networks_RH_ContB_PFClv_1,0.21155555555555558,5
camcan,region_group_lasso,59,17Networks_RH_SomMotA_3,0.2053333333333333,5
camcan,region_group_lasso,93,17Networks_RH_DefaultB_PFCd_1,0.19522222222222224,5
camcan,region_group_lasso,43,17Networks_LH_DefaultB_IPL_1,0.19333333333333333,5
camcan,region_group_lasso,78,17Networks_RH_LimbicB_OFC_1,0.1911111111111111,5
camcan,region_group_lasso,4,17Networks_LH_VisCent_ExStr_3,0.18644444444444444,5
