dataset,model,network_name,average_score,embedding_count
camcan,region_elasticnet,VisCent,0.7298071543822727,5
camcan,region_elasticnet,SomMotA,0.5522558703582082,5
camcan,region_elasticnet,LimbicB,0.48509297052154193,5
camcan,region_elasticnet,DefaultB,0.4727410595423369,5
camcan,region_elasticnet,SomMotB,0.4405064388055756,5
camcan,region_elasticnet,ContC,0.34025912014614723,5
camcan,region_elasticnet,ContB,0.33587598976616884,5
camcan,region_elasticnet,SalVentAttnA,0.33515478638367097,5
camcan,region_elasticnet,DorsAttnB,0.3131343887113198,5
camcan,region_elasticnet,TempPar,0.2853020698165888,5
camcan,region_elasticnet,ContA,0.2715601095129486,5
camcan,region_elasticnet,DorsAttnA,0.23745478518644436,5
camcan,region_elasticnet,DefaultA,0.23089244591718955,5
camcan,region_elasticnet,VisPeri,0.200913886911066,5
camcan,region_elasticnet,LimbicA,0.190121757909513,5
camcan,region_elasticnet,SalVentAttnB,0.17299887205727774,5
camcan,region_elasticnet,DefaultC,0.06448823730852886,5
camcan,region_group_lasso,VisCent,0.6803952390565985,5
camcan,region_group_lasso,DefaultB,0.6155168132492037,5
camcan,region_group_lasso,SomMotA,0.5399105597235477,5
camcan,region_group_lasso,LimbicB,0.49496938271604946,5
camcan,region_group_lasso,SalVentAttnA,0.49122558397853117,5
camcan,region_group_lasso,SomMotB,0.46123039162185736,5
camcan,region_group_lasso,ContB,0.3597825840118519,5
camcan,region_group_lasso,ContC,0.3586229711529218,5
camcan,region_group_lasso,DorsAttnA,0.32193572851150626,5
camcan,region_group_lasso,ContA,0.3007127007560721,5
camcan,region_group_lasso,TempPar,0.27295701527572025,5
camcan,region_group_lasso,DefaultA,0.2611625876685944,5
camcan,region_group_lasso,DorsAttnB,0.2547387230422517,5
camcan,region_group_lasso,LimbicA,0.2521699604938271,5
camcan,region_group_lasso,SalVentAttnB,0.17336325478452677,5
camcan,region_group_lasso,VisPeri,0.17259458450958548,5
camcan,region_group_lasso,DefaultC,0.12592796152537725,5
hcp,region_elasticnet,SomMotA,0.81023463257946,5
hcp,region_elasticnet,DefaultB,0.7875372925190165,5
hcp,region_elasticnet,DefaultA,0.7453300796171117,5
hcp,region_elasticnet,DefaultC,0.7118694903829134,5
hcp,region_elasticnet,SalVentAttnA,0.5826971504076504,5
hcp,region_elasticnet,ContB,0.5423766224214763,5
hcp,region_elasticnet,ContC,0.5372878809604136,5
hcp,region_elasticnet,DorsAttnB,0.49182166390276694,5
hcp,region_elasticnet,VisPeri,0.3980920845829265,5
hcp,region_elasticnet,VisCent,0.3713089557928687,5
hcp,region_elasticnet,SomMotB,0.361063019524172,5
hcp,region_elasticnet,DorsAttnA,0.3521033287067322,5
hcp,region_elasticnet,LimbicB,0.34342764378478663,5
hcp,region_elasticnet,ContA,0.34023656154001164,5
hcp,region_elasticnet,TempPar,0.2843317470963608,5
hcp,region_elasticnet,LimbicA,0.24308031776317374,5
hcp,region_elasticnet,SalVentAttnB,0.1470204824861667,5
hcp,region_group_lasso,SomMotA,0.9245878983162126,5
hcp,region_group_lasso,DefaultB,0.9127104486023969,5
hcp,region_group_lasso,DefaultA,0.8287264031812039,5
hcp,region_group_lasso,SalVentAttnA,0.6754573612661054,5
hcp,region_group_lasso,DefaultC,0.669088353680758,5
hcp,region_group_lasso,ContB,0.5894198658622178,5
hcp,region_group_lasso,LimbicB,0.4294325396825397,5
hcp,region_group_lasso,SomMotB,0.41932934589740845,5
hcp,region_group_lasso,DorsAttnA,0.40091390859984993,5
hcp,region_group_lasso,ContC,0.39048076127083525,5
hcp,region_group_lasso,DorsAttnB,0.33933734527693904,5
hcp,region_group_lasso,TempPar,0.3339607170189504,5
hcp,region_group_lasso,VisCent,0.3152685710668993,5
hcp,region_group_lasso,ContA,0.2887688304778613,5
hcp,region_group_lasso,LimbicA,0.28035522959183673,5
hcp,region_group_lasso,VisPeri,0.22022753511126103,5
hcp,region_group_lasso,SalVentAttnB,0.18333583103291118,5
