dataset,task,microstructure,model,region_representation,region_id,region_name,selection_proportion
camcan,binary_classification,md,region_elasticnet,flatten,28,17Networks_LH_LimbicB_OFC_1,0.8571428571428571
camcan,binary_classification,md,region_elasticnet,flatten,78,17Networks_RH_LimbicB_OFC_1,0.7428571428571429
camcan,binary_classification,md,region_elasticnet,flatten,3,17Networks_LH_VisCent_Striate_1,0.6571428571428571
camcan,binary_classification,md,region_elasticnet,flatten,8,17Networks_LH_SomMotA_1,0.6571428571428571
camcan,binary_classification,md,region_elasticnet,flatten,9,17Networks_LH_SomMotA_2,0.6571428571428571
camcan,binary_classification,md,region_elasticnet,flatten,60,17Networks_RH_SomMotA_4,0.6
camcan,binary_classification,md,region_elasticnet,flatten,17,17Networks_LH_DorsAttnB_PostC_1,0.42857142857142855
camcan,binary_classification,md,region_elasticnet,flatten,61,17Networks_RH_SomMotB_Aud_1,0.42857142857142855
camcan,binary_classification,md,region_elasticnet,flatten,29,17Networks_LH_LimbicA_TempPole_1,0.3142857142857143
camcan,binary_classification,md,region_elasticnet,flatten,59,17Networks_RH_SomMotA_3,0.2857142857142857
camcan,binary_classification,md,region_elasticnet,mean_std,3,17Networks_LH_VisCent_Striate_1,1.0
camcan,binary_classification,md,region_elasticnet,mean_std,28,17Networks_LH_LimbicB_OFC_1,0.36666666666666664
camcan,binary_classification,md,region_elasticnet,mean_std,4,17Networks_LH_VisCent_ExStr_3,0.3
camcan,binary_classification,md,region_elasticnet,mean_std,86,17Networks_RH_ContB_PFClv_1,0.3
camcan,binary_classification,md,region_elasticnet,mean_std,2,17Networks_LH_VisCent_ExStr_2,0.26666666666666666
camcan,binary_classification,md,region_elasticnet,mean_std,24,17Networks_LH_SalVentAttnA_ParMed_1,0.26666666666666666
camcan,binary_classification,md,region_elasticnet,mean_std,59,17Networks_RH_SomMotA_3,0.26666666666666666
camcan,binary_classification,md,region_elasticnet,mean_std,1,17Networks_LH_VisCent_ExStr_1,0.23333333333333334
camcan,binary_classification,md,region_elasticnet,mean_std,9,17Networks_LH_SomMotA_2,0.23333333333333334
camcan,binary_classification,md,region_elasticnet,mean_std,20,17Networks_LH_DorsAttnB_FEF_1,0.23333333333333334
camcan,binary_classification,md,region_elasticnet,pca,22,17Networks_LH_SalVentAttnA_Ins_1,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,24,17Networks_LH_SalVentAttnA_ParMed_1,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,31,17Networks_LH_ContA_IPS_1,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,52,17Networks_RH_VisCent_ExStr_2,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,86,17Networks_RH_ContB_PFClv_1,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,95,17Networks_RH_DefaultB_PFCv_2,0.21428571428571427
camcan,binary_classification,md,region_elasticnet,pca,13,17Networks_LH_SomMotB_Cent_1,0.14285714285714285
camcan,binary_classification,md,region_elasticnet,pca,51,17Networks_RH_VisCent_ExStr_1,0.14285714285714285
camcan,binary_classification,md,region_elasticnet,pca,1,17Networks_LH_VisCent_ExStr_1,0.07142857142857142
camcan,binary_classification,md,region_elasticnet,pca,14,17Networks_LH_DorsAttnA_TempOcc_1,0.07142857142857142
camcan,binary_classification,md,region_elasticnet,percentiles,3,17Networks_LH_VisCent_Striate_1,0.7428571428571429
camcan,binary_classification,md,region_elasticnet,percentiles,28,17Networks_LH_LimbicB_OFC_1,0.7428571428571429
camcan,binary_classification,md,region_elasticnet,percentiles,4,17Networks_LH_VisCent_ExStr_3,0.6857142857142857
camcan,binary_classification,md,region_elasticnet,percentiles,59,17Networks_RH_SomMotA_3,0.6857142857142857
camcan,binary_classification,md,region_elasticnet,percentiles,87,17Networks_RH_ContC_Cingp_1,0.45714285714285713
camcan,binary_classification,md,region_elasticnet,percentiles,99,17Networks_RH_TempPar_2,0.42857142857142855
camcan,binary_classification,md,region_elasticnet,percentiles,93,17Networks_RH_DefaultB_PFCd_1,0.34285714285714286
camcan,binary_classification,md,region_elasticnet,percentiles,2,17Networks_LH_VisCent_ExStr_2,0.2857142857142857
camcan,binary_classification,md,region_elasticnet,percentiles,53,17Networks_RH_VisCent_ExStr_3,0.2857142857142857
camcan,binary_classification,md,region_elasticnet,percentiles,13,17Networks_LH_SomMotB_Cent_1,0.22857142857142856
camcan,binary_classification,md,region_elasticnet,summary_stats,3,17Networks_LH_VisCent_Striate_1,0.2
camcan,binary_classification,md,region_elasticnet,summary_stats,43,17Networks_LH_DefaultB_IPL_1,0.2
camcan,binary_classification,md,region_elasticnet,summary_stats,59,17Networks_RH_SomMotA_3,0.17142857142857143
camcan,binary_classification,md,region_elasticnet,summary_stats,87,17Networks_RH_ContC_Cingp_1,0.17142857142857143
camcan,binary_classification,md,region_elasticnet,summary_stats,86,17Networks_RH_ContB_PFClv_1,0.14285714285714285
camcan,binary_classification,md,region_elasticnet,summary_stats,100,17Networks_RH_TempPar_3,0.14285714285714285
camcan,binary_classification,md,region_elasticnet,summary_stats,4,17Networks_LH_VisCent_ExStr_3,0.11428571428571428
camcan,binary_classification,md,region_elasticnet,summary_stats,14,17Networks_LH_DorsAttnA_TempOcc_1,0.11428571428571428
camcan,binary_classification,md,region_elasticnet,summary_stats,21,17Networks_LH_SalVentAttnA_ParOper_1,0.11428571428571428
camcan,binary_classification,md,region_elasticnet,summary_stats,78,17Networks_RH_LimbicB_OFC_1,0.11428571428571428
