dataset,task,microstructure,model,region_representation,network_name,selection_proportion
camcan,binary_classification,md,region_group_lasso,flatten,SomMotA,0.9520123456790124
camcan,binary_classification,md,region_group_lasso,flatten,LimbicB,0.8411111111111111
camcan,binary_classification,md,region_group_lasso,flatten,DefaultB,0.804
camcan,binary_classification,md,region_group_lasso,flatten,LimbicA,0.7822222222222222
camcan,binary_classification,md,region_group_lasso,flatten,SomMotB,0.6928148148148148
camcan,binary_classification,md,region_group_lasso,mean_std,VisCent,1.0
camcan,binary_classification,md,region_group_lasso,mean_std,ContB,0.6586024960000001
camcan,binary_classification,md,region_group_lasso,mean_std,DefaultB,0.6446756627808257
camcan,binary_classification,md,region_group_lasso,mean_std,LimbicB,0.5968
camcan,binary_classification,md,region_group_lasso,mean_std,SomMotB,0.59385228673024
camcan,binary_classification,md,region_group_lasso,pca,SalVentAttnA,0.8473144493935545
camcan,binary_classification,md,region_group_lasso,pca,VisCent,0.7296573870965921
camcan,binary_classification,md,region_group_lasso,pca,DefaultB,0.7234943497577342
camcan,binary_classification,md,region_group_lasso,pca,ContA,0.610215125743027
camcan,binary_classification,md,region_group_lasso,pca,ContC,0.528875720164609
camcan,binary_classification,md,region_group_lasso,percentiles,VisCent,0.8687249956864
camcan,binary_classification,md,region_group_lasso,percentiles,LimbicB,0.6928000000000001
camcan,binary_classification,md,region_group_lasso,percentiles,SomMotA,0.576006197248
camcan,binary_classification,md,region_group_lasso,percentiles,ContC,0.4351845376
camcan,binary_classification,md,region_group_lasso,percentiles,DefaultB,0.3894158603480833
camcan,binary_classification,md,region_group_lasso,summary_stats,VisCent,0.5535938125000002
camcan,binary_classification,md,region_group_lasso,summary_stats,DefaultB,0.5159981933593749
camcan,binary_classification,md,region_group_lasso,summary_stats,SalVentAttnA,0.49557822991943357
camcan,binary_classification,md,region_group_lasso,summary_stats,ContB,0.4024500000000001
camcan,binary_classification,md,region_group_lasso,summary_stats,SomMotA,0.36783437500000005
