dataset,task,microstructure,model,region_representation,region_id,region_name,selection_proportion
hcp,binary_classification,md,region_elasticnet,flatten,49,17Networks_LH_DefaultC_PHC_1,0.8625
hcp,binary_classification,md,region_elasticnet,flatten,97,17Networks_RH_DefaultC_PHC_1,0.8375
hcp,binary_classification,md,region_elasticnet,flatten,78,17Networks_RH_LimbicB_OFC_1,0.625
hcp,binary_classification,md,region_elasticnet,flatten,6,17Networks_LH_VisPeri_StriCal_1,0.6
hcp,binary_classification,md,region_elasticnet,flatten,58,17Networks_RH_SomMotA_2,0.5125
hcp,binary_classification,md,region_elasticnet,flatten,28,17Networks_LH_LimbicB_OFC_1,0.5
hcp,binary_classification,md,region_elasticnet,flatten,79,17Networks_RH_LimbicA_TempPole_1,0.4875
hcp,binary_classification,md,region_elasticnet,flatten,87,17Networks_RH_ContC_Cingp_1,0.45
hcp,binary_classification,md,region_elasticnet,flatten,55,17Networks_RH_VisPeri_ExStrInf_1,0.4375
hcp,binary_classification,md,region_elasticnet,flatten,40,17Networks_LH_DefaultA_PFCm_1,0.4125
hcp,binary_classification,md,region_elasticnet,mean_std,49,17Networks_LH_DefaultC_PHC_1,0.92
hcp,binary_classification,md,region_elasticnet,mean_std,34,17Networks_LH_ContB_PFClv_1,0.9
hcp,binary_classification,md,region_elasticnet,mean_std,97,17Networks_RH_DefaultC_PHC_1,0.76
hcp,binary_classification,md,region_elasticnet,mean_std,40,17Networks_LH_DefaultA_PFCm_1,0.74
hcp,binary_classification,md,region_elasticnet,mean_std,59,17Networks_RH_SomMotA_3,0.68
hcp,binary_classification,md,region_elasticnet,mean_std,94,17Networks_RH_DefaultB_PFCv_1,0.68
hcp,binary_classification,md,region_elasticnet,mean_std,47,17Networks_LH_DefaultB_PFCv_2,0.66
hcp,binary_classification,md,region_elasticnet,mean_std,45,17Networks_LH_DefaultB_PFCl_1,0.4
hcp,binary_classification,md,region_elasticnet,mean_std,43,17Networks_LH_DefaultB_IPL_1,0.34
hcp,binary_classification,md,region_elasticnet,mean_std,38,17Networks_LH_DefaultA_PFCd_1,0.2
hcp,binary_classification,md,region_elasticnet,pca,40,17Networks_LH_DefaultA_PFCm_1,0.8636363636363636
hcp,binary_classification,md,region_elasticnet,pca,47,17Networks_LH_DefaultB_PFCv_2,0.8636363636363636
hcp,binary_classification,md,region_elasticnet,pca,59,17Networks_RH_SomMotA_3,0.8636363636363636
hcp,binary_classification,md,region_elasticnet,pca,60,17Networks_RH_SomMotA_4,0.8636363636363636
hcp,binary_classification,md,region_elasticnet,pca,72,17Networks_RH_SalVentAttnA_Ins_1,0.8636363636363636
hcp,binary_classification,md,region_elasticnet,pca,43,17Networks_LH_DefaultB_IPL_1,0.8181818181818182
hcp,binary_classification,md,region_elasticnet,pca,93,17Networks_RH_DefaultB_PFCd_1,0.7727272727272727
hcp,binary_classification,md,region_elasticnet,pca,35,17Networks_LH_ContC_pCun_1,0.7272727272727273
hcp,binary_classification,md,region_elasticnet,pca,100,17Networks_RH_TempPar_3,0.7272727272727273
hcp,binary_classification,md,region_elasticnet,pca,78,17Networks_RH_LimbicB_OFC_1,0.5454545454545454
hcp,binary_classification,md,region_elasticnet,percentiles,34,17Networks_LH_ContB_PFClv_1,0.9714285714285714
hcp,binary_classification,md,region_elasticnet,percentiles,49,17Networks_LH_DefaultC_PHC_1,0.9714285714285714
hcp,binary_classification,md,region_elasticnet,percentiles,59,17Networks_RH_SomMotA_3,0.9714285714285714
hcp,binary_classification,md,region_elasticnet,percentiles,94,17Networks_RH_DefaultB_PFCv_1,0.9714285714285714
hcp,binary_classification,md,region_elasticnet,percentiles,97,17Networks_RH_DefaultC_PHC_1,0.9714285714285714
hcp,binary_classification,md,region_elasticnet,percentiles,40,17Networks_LH_DefaultA_PFCm_1,0.8
hcp,binary_classification,md,region_elasticnet,percentiles,47,17Networks_LH_DefaultB_PFCv_2,0.8
hcp,binary_classification,md,region_elasticnet,percentiles,35,17Networks_LH_ContC_pCun_1,0.6857142857142857
hcp,binary_classification,md,region_elasticnet,percentiles,68,17Networks_RH_DorsAttnB_PostC_1,0.6571428571428571
hcp,binary_classification,md,region_elasticnet,percentiles,72,17Networks_RH_SalVentAttnA_Ins_1,0.6
hcp,binary_classification,md,region_elasticnet,summary_stats,35,17Networks_LH_ContC_pCun_1,0.42857142857142855
hcp,binary_classification,md,region_elasticnet,summary_stats,40,17Networks_LH_DefaultA_PFCm_1,0.42857142857142855
hcp,binary_classification,md,region_elasticnet,summary_stats,47,17Networks_LH_DefaultB_PFCv_2,0.4
hcp,binary_classification,md,region_elasticnet,summary_stats,49,17Networks_LH_DefaultC_PHC_1,0.4
hcp,binary_classification,md,region_elasticnet,summary_stats,59,17Networks_RH_SomMotA_3,0.37142857142857144
hcp,binary_classification,md,region_elasticnet,summary_stats,4,17Networks_LH_VisCent_ExStr_3,0.3142857142857143
hcp,binary_classification,md,region_elasticnet,summary_stats,16,17Networks_LH_DorsAttnA_SPL_1,0.2857142857142857
hcp,binary_classification,md,region_elasticnet,summary_stats,10,17Networks_LH_SomMotB_Aud_1,0.2571428571428571
hcp,binary_classification,md,region_elasticnet,summary_stats,50,17Networks_LH_TempPar_1,0.2571428571428571
hcp,binary_classification,md,region_elasticnet,summary_stats,43,17Networks_LH_DefaultB_IPL_1,0.22857142857142856
