dataset,task,microstructure,model,region_representation,network_name,selection_proportion
hcp,binary_classification,md,region_group_lasso,flatten,SomMotA,0.9895643481882549
hcp,binary_classification,md,region_group_lasso,flatten,LimbicA,0.9836734693877551
hcp,binary_classification,md,region_group_lasso,flatten,LimbicB,0.9804081632653061
hcp,binary_classification,md,region_group_lasso,flatten,SalVentAttnA,0.8960932944606413
hcp,binary_classification,md,region_group_lasso,flatten,DefaultA,0.8096793002915452
hcp,binary_classification,md,region_group_lasso,mean_std,ContB,1.0
hcp,binary_classification,md,region_group_lasso,mean_std,DefaultC,1.0
hcp,binary_classification,md,region_group_lasso,mean_std,DefaultB,0.999415266733278
hcp,binary_classification,md,region_group_lasso,mean_std,SomMotA,0.9811150739216583
hcp,binary_classification,md,region_group_lasso,mean_std,DefaultA,0.8864386445155719
hcp,binary_classification,md,region_group_lasso,pca,DefaultB,0.9984513580246913
hcp,binary_classification,md,region_group_lasso,pca,SomMotA,0.9883851851851851
hcp,binary_classification,md,region_group_lasso,pca,SalVentAttnA,0.935288888888889
hcp,binary_classification,md,region_group_lasso,pca,TempPar,0.8497777777777777
hcp,binary_classification,md,region_group_lasso,pca,DefaultA,0.8257777777777778
hcp,binary_classification,md,region_group_lasso,percentiles,DefaultC,0.9994359375
hcp,binary_classification,md,region_group_lasso,percentiles,DefaultB,0.990295170171814
hcp,binary_classification,md,region_group_lasso,percentiles,SomMotA,0.981673609375
hcp,binary_classification,md,region_group_lasso,percentiles,ContB,0.94720375
hcp,binary_classification,md,region_group_lasso,percentiles,DefaultA,0.7764512573242188
hcp,binary_classification,md,region_group_lasso,summary_stats,DefaultB,0.8956097091043941
hcp,binary_classification,md,region_group_lasso,summary_stats,DefaultA,0.845285035996906
hcp,binary_classification,md,region_group_lasso,summary_stats,SalVentAttnA,0.8236256309071751
hcp,binary_classification,md,region_group_lasso,summary_stats,DorsAttnA,0.7838092794668887
hcp,binary_classification,md,region_group_lasso,summary_stats,SomMotB,0.7182459787955213
