dataset,task,microstructure,model,region_representation,region_id,region_name,selection_proportion
hcp,binary_classification,md,region_group_lasso,flatten,79,17Networks_RH_LimbicA_TempPole_1,0.9428571428571428
hcp,binary_classification,md,region_group_lasso,flatten,28,17Networks_LH_LimbicB_OFC_1,0.8857142857142857
hcp,binary_classification,md,region_group_lasso,flatten,9,17Networks_LH_SomMotA_2,0.8571428571428571
hcp,binary_classification,md,region_group_lasso,flatten,72,17Networks_RH_SalVentAttnA_Ins_1,0.8571428571428571
hcp,binary_classification,md,region_group_lasso,flatten,60,17Networks_RH_SomMotA_4,0.8285714285714286
hcp,binary_classification,md,region_group_lasso,flatten,78,17Networks_RH_LimbicB_OFC_1,0.8285714285714286
hcp,binary_classification,md,region_group_lasso,flatten,40,17Networks_LH_DefaultA_PFCm_1,0.7714285714285715
hcp,binary_classification,md,region_group_lasso,flatten,29,17Networks_LH_LimbicA_TempPole_1,0.7142857142857143
hcp,binary_classification,md,region_group_lasso,flatten,97,17Networks_RH_DefaultC_PHC_1,0.5428571428571428
hcp,binary_classification,md,region_group_lasso,flatten,8,17Networks_LH_SomMotA_1,0.4857142857142857
hcp,binary_classification,md,region_group_lasso,mean_std,34,17Networks_LH_ContB_PFClv_1,1.0
hcp,binary_classification,md,region_group_lasso,mean_std,49,17Networks_LH_DefaultC_PHC_1,1.0
hcp,binary_classification,md,region_group_lasso,mean_std,59,17Networks_RH_SomMotA_3,0.9777777777777777
hcp,binary_classification,md,region_group_lasso,mean_std,47,17Networks_LH_DefaultB_PFCv_2,0.9555555555555556
hcp,binary_classification,md,region_group_lasso,mean_std,94,17Networks_RH_DefaultB_PFCv_1,0.9333333333333333
hcp,binary_classification,md,region_group_lasso,mean_std,97,17Networks_RH_DefaultC_PHC_1,0.9333333333333333
hcp,binary_classification,md,region_group_lasso,mean_std,40,17Networks_LH_DefaultA_PFCm_1,0.8666666666666667
hcp,binary_classification,md,region_group_lasso,mean_std,45,17Networks_LH_DefaultB_PFCl_1,0.5777777777777777
hcp,binary_classification,md,region_group_lasso,mean_std,43,17Networks_LH_DefaultB_IPL_1,0.5111111111111111
hcp,binary_classification,md,region_group_lasso,mean_std,68,17Networks_RH_DorsAttnB_PostC_1,0.15555555555555556
hcp,binary_classification,md,region_group_lasso,pca,40,17Networks_LH_DefaultA_PFCm_1,0.8
hcp,binary_classification,md,region_group_lasso,pca,47,17Networks_LH_DefaultB_PFCv_2,0.8
hcp,binary_classification,md,region_group_lasso,pca,59,17Networks_RH_SomMotA_3,0.8
hcp,binary_classification,md,region_group_lasso,pca,60,17Networks_RH_SomMotA_4,0.8
hcp,binary_classification,md,region_group_lasso,pca,72,17Networks_RH_SalVentAttnA_Ins_1,0.8
hcp,binary_classification,md,region_group_lasso,pca,93,17Networks_RH_DefaultB_PFCd_1,0.8
hcp,binary_classification,md,region_group_lasso,pca,100,17Networks_RH_TempPar_3,0.8
hcp,binary_classification,md,region_group_lasso,pca,35,17Networks_LH_ContC_pCun_1,0.7333333333333333
hcp,binary_classification,md,region_group_lasso,pca,43,17Networks_LH_DefaultB_IPL_1,0.7333333333333333
hcp,binary_classification,md,region_group_lasso,pca,78,17Networks_RH_LimbicB_OFC_1,0.7333333333333333
hcp,binary_classification,md,region_group_lasso,percentiles,49,17Networks_LH_DefaultC_PHC_1,0.975
hcp,binary_classification,md,region_group_lasso,percentiles,59,17Networks_RH_SomMotA_3,0.975
hcp,binary_classification,md,region_group_lasso,percentiles,94,17Networks_RH_DefaultB_PFCv_1,0.975
hcp,binary_classification,md,region_group_lasso,percentiles,97,17Networks_RH_DefaultC_PHC_1,0.975
hcp,binary_classification,md,region_group_lasso,percentiles,34,17Networks_LH_ContB_PFClv_1,0.925
hcp,binary_classification,md,region_group_lasso,percentiles,40,17Networks_LH_DefaultA_PFCm_1,0.65
hcp,binary_classification,md,region_group_lasso,percentiles,68,17Networks_RH_DorsAttnB_PostC_1,0.35
hcp,binary_classification,md,region_group_lasso,percentiles,47,17Networks_LH_DefaultB_PFCv_2,0.325
hcp,binary_classification,md,region_group_lasso,percentiles,72,17Networks_RH_SalVentAttnA_Ins_1,0.275
hcp,binary_classification,md,region_group_lasso,percentiles,35,17Networks_LH_ContC_pCun_1,0.25
hcp,binary_classification,md,region_group_lasso,summary_stats,4,17Networks_LH_VisCent_ExStr_3,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,10,17Networks_LH_SomMotB_Aud_1,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,16,17Networks_LH_DorsAttnA_SPL_1,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,35,17Networks_LH_ContC_pCun_1,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,40,17Networks_LH_DefaultA_PFCm_1,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,47,17Networks_LH_DefaultB_PFCv_2,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,49,17Networks_LH_DefaultC_PHC_1,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,59,17Networks_RH_SomMotA_3,0.45714285714285713
hcp,binary_classification,md,region_group_lasso,summary_stats,97,17Networks_RH_DefaultC_PHC_1,0.42857142857142855
hcp,binary_classification,md,region_group_lasso,summary_stats,14,17Networks_LH_DorsAttnA_TempOcc_1,0.4
