dataset,task,microstructure,model,region_representation,network_name,selection_proportion
camcan,binary_classification,md,region_elasticnet,flatten,SomMotA,0.9664139941690962
camcan,binary_classification,md,region_elasticnet,flatten,LimbicB,0.963265306122449
camcan,binary_classification,md,region_elasticnet,flatten,VisCent,0.7671370262390671
camcan,binary_classification,md,region_elasticnet,flatten,SomMotB,0.5649812578092461
camcan,binary_classification,md,region_elasticnet,flatten,DorsAttnB,0.5083381924198251
camcan,binary_classification,md,region_elasticnet,mean_std,VisCent,1.0
camcan,binary_classification,md,region_elasticnet,mean_std,DefaultB,0.7463015269135802
camcan,binary_classification,md,region_elasticnet,mean_std,SomMotB,0.6922538666666666
camcan,binary_classification,md,region_elasticnet,mean_std,SalVentAttnA,0.6803676711111111
camcan,binary_classification,md,region_elasticnet,mean_std,ContB,0.6779999999999999
camcan,binary_classification,md,region_elasticnet,pca,SalVentAttnA,0.4267492711370262
camcan,binary_classification,md,region_elasticnet,pca,VisCent,0.3746355685131194
camcan,binary_classification,md,region_elasticnet,pca,DefaultB,0.32252186588921283
camcan,binary_classification,md,region_elasticnet,pca,ContA,0.27040816326530615
camcan,binary_classification,md,region_elasticnet,pca,ContB,0.2142857142857143
camcan,binary_classification,md,region_elasticnet,percentiles,VisCent,0.9599452609031951
camcan,binary_classification,md,region_elasticnet,percentiles,LimbicB,0.7575510204081632
camcan,binary_classification,md,region_elasticnet,percentiles,SomMotA,0.7216326530612245
camcan,binary_classification,md,region_elasticnet,percentiles,ContC,0.5178542274052478
camcan,binary_classification,md,region_elasticnet,percentiles,DefaultB,0.4844781341107872
camcan,binary_classification,md,region_elasticnet,summary_stats,DefaultB,0.6201996891654513
camcan,binary_classification,md,region_elasticnet,summary_stats,VisCent,0.5473179162559819
camcan,binary_classification,md,region_elasticnet,summary_stats,SalVentAttnA,0.5400855610987889
camcan,binary_classification,md,region_elasticnet,summary_stats,DefaultA,0.4492715663206417
camcan,binary_classification,md,region_elasticnet,summary_stats,SomMotB,0.4477810345665427
