dataset,task,microstructure,model,region_representation,region_id,region_name,selection_proportion
camcan,binary_classification,md,region_group_lasso,flatten,9,17Networks_LH_SomMotA_2,0.6666666666666666
camcan,binary_classification,md,region_group_lasso,flatten,28,17Networks_LH_LimbicB_OFC_1,0.6333333333333333
camcan,binary_classification,md,region_group_lasso,flatten,8,17Networks_LH_SomMotA_1,0.5666666666666667
camcan,binary_classification,md,region_group_lasso,flatten,60,17Networks_RH_SomMotA_4,0.5666666666666667
camcan,binary_classification,md,region_group_lasso,flatten,78,17Networks_RH_LimbicB_OFC_1,0.5666666666666667
camcan,binary_classification,md,region_group_lasso,flatten,29,17Networks_LH_LimbicA_TempPole_1,0.5333333333333333
camcan,binary_classification,md,region_group_lasso,flatten,44,17Networks_LH_DefaultB_PFCd_1,0.5333333333333333
camcan,binary_classification,md,region_group_lasso,flatten,79,17Networks_RH_LimbicA_TempPole_1,0.5333333333333333
camcan,binary_classification,md,region_group_lasso,flatten,61,17Networks_RH_SomMotB_Aud_1,0.5
camcan,binary_classification,md,region_group_lasso,flatten,93,17Networks_RH_DefaultB_PFCd_1,0.4
camcan,binary_classification,md,region_group_lasso,mean_std,3,17Networks_LH_VisCent_Striate_1,1.0
camcan,binary_classification,md,region_group_lasso,mean_std,28,17Networks_LH_LimbicB_OFC_1,0.52
camcan,binary_classification,md,region_group_lasso,mean_std,86,17Networks_RH_ContB_PFClv_1,0.4
camcan,binary_classification,md,region_group_lasso,mean_std,4,17Networks_LH_VisCent_ExStr_3,0.36
camcan,binary_classification,md,region_group_lasso,mean_std,59,17Networks_RH_SomMotA_3,0.28
camcan,binary_classification,md,region_group_lasso,mean_std,1,17Networks_LH_VisCent_ExStr_1,0.2
camcan,binary_classification,md,region_group_lasso,mean_std,37,17Networks_LH_ContC_Cingp_1,0.2
camcan,binary_classification,md,region_group_lasso,mean_std,2,17Networks_LH_VisCent_ExStr_2,0.16
camcan,binary_classification,md,region_group_lasso,mean_std,9,17Networks_LH_SomMotA_2,0.16
camcan,binary_classification,md,region_group_lasso,mean_std,10,17Networks_LH_SomMotB_Aud_1,0.16
camcan,binary_classification,md,region_group_lasso,pca,22,17Networks_LH_SalVentAttnA_Ins_1,0.4
camcan,binary_classification,md,region_group_lasso,pca,24,17Networks_LH_SalVentAttnA_ParMed_1,0.4
camcan,binary_classification,md,region_group_lasso,pca,31,17Networks_LH_ContA_IPS_1,0.4
camcan,binary_classification,md,region_group_lasso,pca,1,17Networks_LH_VisCent_ExStr_1,0.37777777777777777
camcan,binary_classification,md,region_group_lasso,pca,86,17Networks_RH_ContB_PFClv_1,0.37777777777777777
camcan,binary_classification,md,region_group_lasso,pca,14,17Networks_LH_DorsAttnA_TempOcc_1,0.35555555555555557
camcan,binary_classification,md,region_group_lasso,pca,52,17Networks_RH_VisCent_ExStr_2,0.35555555555555557
camcan,binary_classification,md,region_group_lasso,pca,93,17Networks_RH_DefaultB_PFCd_1,0.3111111111111111
camcan,binary_classification,md,region_group_lasso,pca,95,17Networks_RH_DefaultB_PFCv_2,0.3111111111111111
camcan,binary_classification,md,region_group_lasso,pca,35,17Networks_LH_ContC_pCun_1,0.28888888888888886
camcan,binary_classification,md,region_group_lasso,percentiles,3,17Networks_LH_VisCent_Striate_1,0.68
camcan,binary_classification,md,region_group_lasso,percentiles,28,17Networks_LH_LimbicB_OFC_1,0.68
camcan,binary_classification,md,region_group_lasso,percentiles,59,17Networks_RH_SomMotA_3,0.48
camcan,binary_classification,md,region_group_lasso,percentiles,4,17Networks_LH_VisCent_ExStr_3,0.4
camcan,binary_classification,md,region_group_lasso,percentiles,87,17Networks_RH_ContC_Cingp_1,0.24
camcan,binary_classification,md,region_group_lasso,percentiles,37,17Networks_LH_ContC_Cingp_1,0.16
camcan,binary_classification,md,region_group_lasso,percentiles,53,17Networks_RH_VisCent_ExStr_3,0.16
camcan,binary_classification,md,region_group_lasso,percentiles,99,17Networks_RH_TempPar_2,0.16
camcan,binary_classification,md,region_group_lasso,percentiles,2,17Networks_LH_VisCent_ExStr_2,0.08
camcan,binary_classification,md,region_group_lasso,percentiles,14,17Networks_LH_DorsAttnA_TempOcc_1,0.08
camcan,binary_classification,md,region_group_lasso,summary_stats,3,17Networks_LH_VisCent_Striate_1,0.2
camcan,binary_classification,md,region_group_lasso,summary_stats,43,17Networks_LH_DefaultB_IPL_1,0.2
camcan,binary_classification,md,region_group_lasso,summary_stats,59,17Networks_RH_SomMotA_3,0.2
camcan,binary_classification,md,region_group_lasso,summary_stats,86,17Networks_RH_ContB_PFClv_1,0.2
camcan,binary_classification,md,region_group_lasso,summary_stats,87,17Networks_RH_ContC_Cingp_1,0.175
camcan,binary_classification,md,region_group_lasso,summary_stats,100,17Networks_RH_TempPar_3,0.175
camcan,binary_classification,md,region_group_lasso,summary_stats,4,17Networks_LH_VisCent_ExStr_3,0.15
camcan,binary_classification,md,region_group_lasso,summary_stats,28,17Networks_LH_LimbicB_OFC_1,0.15
camcan,binary_classification,md,region_group_lasso,summary_stats,34,17Networks_LH_ContB_PFClv_1,0.15
camcan,binary_classification,md,region_group_lasso,summary_stats,35,17Networks_LH_ContC_pCun_1,0.15
