dataset,task,microstructure,model,region_representation,network_name,selection_proportion
hcp,binary_classification,md,region_elasticnet,flatten,DefaultC,0.9779355468750001
hcp,binary_classification,md,region_elasticnet,flatten,VisPeri,0.8225541015625
hcp,binary_classification,md,region_elasticnet,flatten,LimbicB,0.8125
hcp,binary_classification,md,region_elasticnet,flatten,SomMotA,0.7578691284179687
hcp,binary_classification,md,region_elasticnet,flatten,DorsAttnB,0.7052326965332032
hcp,binary_classification,md,region_elasticnet,mean_std,DefaultC,0.9811840000000001
hcp,binary_classification,md,region_elasticnet,mean_std,DefaultB,0.958638592
hcp,binary_classification,md,region_elasticnet,mean_std,ContB,0.90976
hcp,binary_classification,md,region_elasticnet,mean_std,DefaultA,0.80448
hcp,binary_classification,md,region_elasticnet,mean_std,SomMotA,0.72352
hcp,binary_classification,md,region_elasticnet,pca,DefaultB,0.9987331088232355
hcp,binary_classification,md,region_elasticnet,pca,SomMotA,0.9911984402456365
hcp,binary_classification,md,region_elasticnet,pca,SalVentAttnA,0.9267468069120962
hcp,binary_classification,md,region_elasticnet,pca,DefaultA,0.8816679188580016
hcp,binary_classification,md,region_elasticnet,pca,ContC,0.8106686701728024
hcp,binary_classification,md,region_elasticnet,percentiles,DefaultC,0.9992296543107039
hcp,binary_classification,md,region_elasticnet,percentiles,DefaultB,0.9974620079651859
hcp,binary_classification,md,region_elasticnet,percentiles,ContB,0.9835366121258999
hcp,binary_classification,md,region_elasticnet,percentiles,SomMotA,0.9801584104582275
hcp,binary_classification,md,region_elasticnet,percentiles,DefaultA,0.909200713036235
hcp,binary_classification,md,region_elasticnet,summary_stats,DefaultB,0.8073766795879112
hcp,binary_classification,md,region_elasticnet,summary_stats,DefaultA,0.6453642661913221
hcp,binary_classification,md,region_elasticnet,summary_stats,SalVentAttnA,0.6088704185297618
hcp,binary_classification,md,region_elasticnet,summary_stats,SomMotB,0.6032847992889816
hcp,binary_classification,md,region_elasticnet,summary_stats,DefaultC,0.6009982507288629
