region_name,summary_stats,mean_std,percentiles,pca,flatten
17Networks_LH_DefaultA_PFCm_1,0.5714285714285714,0.9333333333333333,0.425,0.8,0.6571428571428571
17Networks_RH_SomMotA_3,0.5714285714285714,1.0,0.925,0.8,0.0
17Networks_LH_DefaultC_PHC_1,0.6,1.0,0.975,0.0,0.17142857142857143
17Networks_RH_DefaultC_PHC_1,0.37142857142857144,0.9555555555555556,0.975,0.0,0.37142857142857144
17Networks_LH_DefaultB_PFCv_2,0.6,0.9555555555555556,0.25,0.8,0.02857142857142857
17Networks_RH_DefaultB_PFCv_1,0.14285714285714285,0.9555555555555556,0.975,0.2,0.0
17Networks_LH_DefaultB_IPL_1,0.37142857142857144,0.5777777777777777,0.075,0.7333333333333333,0.4
17Networks_LH_ContB_PFClv_1,0.17142857142857143,1.0,0.925,0.0,0.0
17Networks_RH_SalVentAttnA_Ins_1,0.11428571428571428,0.08888888888888889,0.225,0.8,0.8
17Networks_RH_SomMotA_4,0.17142857142857143,0.17777777777777778,0.05,0.8,0.7428571428571429
